                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8733,                 3.0437,                 1.5312,                0.98355,                0.96535,                 0.9873,                0.74907,                0.86873,                 1.5182,                 1.5031,             0.00066553,             0.00066553,             0.00066553
                      2,                0.84436,                0.98812,                 1.4819,                0.91318,                 0.9174,                0.96301,                0.71108,                0.92602,                0.88538,                 1.5722,              0.0012003,              0.0012003,              0.0012003
                      3,                0.82433,                0.59223,                 1.4513,                0.98724,                0.97252,                0.99345,                0.78338,                0.79023,                0.51927,                 1.4179,              0.0016031,              0.0016031,              0.0016031
                      4,                0.80052,                0.48369,                 1.4196,                0.96621,                0.92951,                0.98619,                0.78187,                0.76428,                0.52142,                 1.4145,               0.001406,               0.001406,               0.001406
                      5,                0.78978,                0.43759,                 1.4045,                 0.9988,                0.99071,                  0.995,                0.80144,                0.74781,                0.37317,                 1.3926,               0.001406,               0.001406,               0.001406
                      6,                0.76712,                0.39825,                 1.3803,                0.99976,                0.99403,                  0.995,                0.79629,                0.74532,                0.35746,                 1.3836,               0.001208,               0.001208,               0.001208
                      7,                0.74615,                0.36475,                 1.3604,                0.99145,                0.99761,                0.99493,                 0.7998,                0.75093,                0.33437,                 1.3661,                0.00101,                0.00101,                0.00101
                      8,                0.73726,                0.34397,                 1.3532,                0.99406,                0.99992,                0.99499,                 0.8141,                0.73483,                0.31202,                 1.3708,               0.000812,               0.000812,               0.000812
                      9,                0.72377,                0.32507,                 1.3419,                 0.9998,                0.99881,                  0.995,                0.81678,                0.71446,                0.29286,                 1.3613,               0.000614,               0.000614,               0.000614
                     10,                0.71085,                0.30379,                 1.3305,                0.99829,                0.99881,                  0.995,                0.81401,                0.71278,                0.28019,                 1.3311,               0.000416,               0.000416,               0.000416
