                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7513,                 6.6258,                 1.0163,                0.00033,                    0.1,                0.00018,                  6e-05,                 1.7851,                 5.7946,                 1.0072,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3806,                  5.429,                0.91173,                  0.001,                    0.3,                0.00093,                0.00027,                 1.2847,                  5.394,                0.91464,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.6135,                 4.8853,                0.90264,                0.00333,                      1,                0.00729,                0.00388,                 1.1427,                   5.19,                0.79513,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.4457,                 4.0869,                0.88764,                0.00333,                      1,                0.00804,                0.00397,                 1.0388,                 4.9627,                0.76098,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.2209,                 2.8858,                0.85593,                  0.003,                    0.9,                0.00649,                0.00367,                 1.0482,                 4.8345,                0.76077,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.2922,                 2.5616,                0.89312,                  0.003,                    0.9,                0.00641,                0.00357,                 1.0951,                 4.6401,                0.77893,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.2021,                 2.5312,                0.90856,                  0.003,                    0.9,                0.00633,                0.00344,                 1.0624,                 4.7789,                0.78432,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.0488,                 2.6379,                0.87657,                  0.003,                    0.9,                0.00611,                0.00327,                 1.0051,                 4.9099,                0.79292,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.2196,                 4.6475,                 0.8225,                  0.003,                    0.9,                0.00591,                0.00285,                0.98412,                 4.8352,                0.81008,             0.00047882,             0.00047882,             0.00047882
                     10,                0.69492,                 4.1869,                0.57999,                  0.003,                    0.9,                0.00559,                 0.0025,                  1.121,                 4.9348,                0.84901,             0.00052832,             0.00052832,             0.00052832
                     11,                0.82139,                 4.4019,                0.62726,                  0.003,                    0.9,                0.00527,                0.00268,                 1.1602,                 4.8222,                0.84743,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.1397,                 2.5471,                0.85576,                0.00333,                      1,                0.00597,                0.00367,                 1.0621,                 4.5713,                0.82458,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.1181,                 2.3104,                0.89772,                0.00333,                      1,                0.05276,                0.03184,                 1.0812,                 4.5834,                0.81038,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0163,                 2.0445,                0.90539,                0.00333,                      1,                0.00575,                0.00368,                 1.1002,                 4.6977,                0.80147,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.2991,                 2.1409,                0.96356,                0.00333,                      1,                0.00502,                0.00314,                 1.2065,                 4.7814,                0.84233,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.3013,                 2.7394,                0.79507,                  0.003,                    0.9,                0.00457,                0.00252,                 1.2808,                 4.8334,                 0.8572,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.2863,                 3.2087,                0.86043,                0.00333,                      1,                0.00529,                0.00267,                 1.2171,                  4.633,                0.83395,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2034,                 2.5402,                0.84765,                0.00333,                      1,                0.00501,                0.00309,                 1.0936,                 4.3288,                0.81293,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.2852,                 2.2225,                0.85912,                0.00333,                      1,                0.00501,                0.00309,                 1.0936,                 4.3288,                0.81293,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.4488,                 2.5988,                0.90158,                0.00333,                      1,                0.00415,                0.00261,                 1.0836,                 4.2355,                 0.8355,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.3067,                 2.3199,                0.95043,                  0.003,                    0.9,                0.00392,                0.00258,                  1.096,                 4.2111,                0.84178,             0.00099448,             0.00099448,             0.00099448
                     22,                  1.128,                  2.132,                0.88918,                  0.003,                    0.9,                0.00392,                0.00258,                  1.096,                 4.2111,                0.84178,              0.0010297,              0.0010297,              0.0010297
                     23,                0.88899,                 3.4814,                0.62428,                  0.003,                    0.9,                0.04264,                 0.0343,                 1.1581,                 4.0118,                0.85013,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.2875,                 2.1313,                0.95131,                0.00333,                      1,                0.74622,                0.51503,                 1.2977,                 3.6659,                0.84225,              0.0010967,              0.0010967,              0.0010967
                     25,                0.83319,                 3.5386,                0.64815,                0.00333,                      1,                0.74622,                0.51503,                 1.2977,                 3.6659,                0.84225,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.5525,                 2.6805,                0.91797,                0.00333,                      1,                0.89576,                0.51311,                 1.5384,                 3.6541,                0.90226,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.4314,                 1.7235,                0.95115,                0.00333,                      1,                0.89576,                0.51311,                 1.5384,                 3.6541,                0.90226,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2708,                 2.6221,                0.87427,                0.00333,                      1,                0.89955,                0.49779,                 1.5094,                 3.6311,                0.91091,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.1376,                 2.1046,                0.90044,                0.00333,                      1,                0.89955,                0.49779,                 1.5094,                 3.6311,                0.91091,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.0071,                 1.8175,                0.96084,                      1,                0.60569,                  0.995,                0.58327,                 1.3488,                 3.3937,                0.90455,               0.001269,               0.001269,               0.001269
                     31,                  1.138,                 2.9489,                0.89737,                      1,                0.60569,                  0.995,                0.58327,                 1.3488,                 3.3937,                0.90455,              0.0012935,              0.0012935,              0.0012935
                     32,                  1.411,                 2.5228,                0.90815,                      1,                0.43424,                  0.995,                0.60633,                 1.3853,                 3.5695,                0.90449,              0.0013169,              0.0013169,              0.0013169
                     33,                0.89627,                 3.3126,                0.59523,                      1,                0.43424,                  0.995,                0.60633,                 1.3853,                 3.5695,                0.90449,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.4218,                 3.0702,                0.86756,                      1,                 0.9336,                  0.995,                0.64633,                 1.2933,                 3.2243,                0.88953,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4035,                 1.7624,                0.97332,                      1,                 0.9336,                  0.995,                0.64633,                 1.2933,                 3.2243,                0.88953,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5197,                 2.7856,                0.91989,                      1,                0.97581,                  0.995,                0.69664,                 1.2268,                 2.6804,                0.89762,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2375,                 2.2272,                 0.8705,                      1,                0.97581,                  0.995,                0.69664,                 1.2268,                 2.6804,                0.89762,               0.001307,               0.001307,               0.001307
                     38,                 1.5265,                 2.2051,                0.92077,                      1,                0.98086,                  0.995,                0.70255,                 1.1907,                   2.64,                0.86566,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4605,                 2.9888,                0.92311,                      1,                0.98086,                  0.995,                0.70255,                 1.1907,                   2.64,                0.86566,              0.0012674,              0.0012674,              0.0012674
